字段代码,字段(大写),中文名,参数
b_calc_hpy,B_CALC_HPY,持有期收益率,DEALDATE1、INNETPRICE、DEALDATE2、OUTNETPRICE、DEALDATE3、N、COUPONRATE、ISSUINGAMOUNT、ValueDate、IssuePrice
b_calc_mduration,B_CALC_MDURATION,修正久期,DEALDATE1、YTM、DEALDATE2、N、COUPONRATE、ISSUINGAMOUNT、ValueDate、IssuePrice
b_calc_outrepoprice,B_CALC_OUTREPOPRICE,买断式回购到期结算价,DEALDATE、N、PRICE1、INTEREST、DAYSINYEAR
b_calc_outreporate,B_CALC_OUTREPORATE,计算买断式回购利率,DEALDATE、N、PRICE1、PRICE2、DAYSINYEAR
b_calc_price,B_CALC_PRICE,收益率(Wind)算价格,DEALDATE1、YTM、TYPE、DEALDATE2、N、COUPONRATE、ISSUINGAMOUNT、ValueDate、IssuePrice
b_calc_price2,B_CALC_PRICE2,收益率(本币)算价格,DEALDATE1、YTM、TYPE、DEALDATE2、N、COUPONRATE、ISSUINGAMOUNT、ValueDate、IssuePrice
b_calc_pv,B_CALC_PV,收益率算价格(BC1),TRADEDATE、IncomeRate、IncomeRateType、PriceType
b_calc_pvbp,B_CALC_PVBP,基点价值,DEALDATE1、YTM、DEALDATE2、N、COUPONRATE、ISSUINGAMOUNT、ValueDate、IssuePrice
b_calc_repoactrate,B_CALC_REPOACTRATE,计算回购交易利率,INTEREST、N、M、DAYSINYEAR
b_calc_repodays,B_CALC_REPODAYS,回购资金占用天数,DEALDATE、TYPE、N
b_calc_repomodrate,B_CALC_REPOMODRATE,计算回购修正利率,INTEREST、N、M、DAYSINYEAR
b_calc_repoprice,B_CALC_REPOPRICE,质押式回购利率算到期结算价,DEALDATE、N、INTEREST、DAYSINYEAR
b_calc_reporate,B_CALC_REPORATE,计算质押式回购利率,DEALDATE、N、PRICE、DAYSINYEAR
b_calc_yield,B_CALC_YIELD,价格算到期收益率(Wind),DEALDATE1、PRICE、TYPE、DEALDATE2、N、COUPONRATE、ISSUINGAMOUNT、ValueDate、IssuePrice
b_calc_yield2,B_CALC_YIELD2,价格算到期收益率(本币),DEALDATE1、PRICE、TYPE、DEALDATE2、N、COUPONRATE、ISSUINGAMOUNT、ValueDate、IssuePrice
b_calc_ytm,B_CALC_YTM,价格算收益率(BC1),TRADEDATE、BondPrice、PriceType、IncomeRateType
b_cashofferperiod,B_CASHOFFERPERIOD,是否在现金要约期,DEALDATE
b_clause_conversion_code,B_CLAUSE_CONVERSION_CODE,转股代码,
b_cleanprice_cbr,B_CLEANPRICE_CBR,估值净价(中债资信),TRADEDATE
b_convexity_cbr,B_CONVEXITY_CBR,凸性(中债资信),TRADEDATE
b_credit_bondcreditstatus,B_CREDIT_BONDCREDITSTATUS,债券信用状态,TRADEDATE
b_credit_linedate,B_CREDIT_LINEDATE,最新授信日期,
b_credit_lineused2,B_CREDIT_LINEUSED2,历史已使用授信额度,TRADEDATE
b_creditspread_wind,B_CREDITSPREAD_WIND,信用利差(减Wind基准),TRADEDATE
b_crm_bookkeepingdate,B_CRM_BOOKKEEPINGDATE,"簿记建档日,b_crm_bookkeepingdate(新增)",
b_crm_carrydate,B_CRM_CARRYDATE,"凭证起始日,b_crm_carrydate(新增)",
b_crm_creditevent,B_CRM_CREDITEVENT,"信用事件,b_crm_creditevent(新增)",
b_crm_dateofrecord,B_CRM_DATEOFRECORD,"凭证登记日,b_crm_dateofrecord(新增)",
b_crm_issuer,B_CRM_ISSUER,"创设机构,b_crm_issuer(新增)",
b_crm_issuerbriefing,B_CRM_ISSUERBRIEFING,"创设机构公司简介,b_crm_issuerbriefing(新增)",
b_crm_issuercode,B_CRM_ISSUERCODE,创设机构交易代码,
b_crm_issuernature,B_CRM_ISSUERNATURE,"创设机构公司属性,b_crm_issuernature(新增)",
b_crm_paymentterms,B_CRM_PAYMENTTERMS,"付费方式,b_crm_paymentterms(新增)",
b_crm_performguarantee,B_CRM_PERFORMGUARANTEE,"履约保障机制,b_crm_performguarantee(新增)",
b_crm_permissionnumber,B_CRM_PERMISSIONNUMBER,"创设批准文件编号,b_crm_permissionnumber(新增)",
b_crm_registeragency,B_CRM_REGISTERAGENCY,"登记机构,b_crm_registeragency(新增)",
b_crm_startingprice,B_CRM_STARTINGPRICE,"创设价格,b_crm_startingprice(新增)",
b_crm_subject,B_CRM_SUBJECT,"标的实体,b_crm_subject(新增)",
b_crm_subjectcode,B_CRM_SUBJECTCODE,标的实体交易代码,
b_crm_ubondoustandingamount,B_CRM_UBONDOUSTANDINGAMOUNT,"发行时标的债券余额,b_crm_ubondoustandingamount(新增)",
b_cvn_rateofstdbndcsi,B_CVN_RATEOFSTDBNDCSI,报价式回购折算率(中证指数),TRADEDATE
b_dailycf_int,B_DAILYCF_INT,指定日利息现金流,DEALDATE
b_dailycf_prin,B_DAILYCF_PRIN,指定日本金现金流,DEALDATE
b_dcm_accumamount,B_DCM_ACCUMAMOUNT,"历史累计注册额度,B_DCM_Accumamount(新增)",BType
b_dcm_expirationdata,B_DCM_EXPIRATIONDATA,"未使用额度有效期,B_DCM_Expirationdata(新增)",BType
b_dcm_firstissueenddate,B_DCM_FIRSTISSUEENDDATE,首期发行截止日,
b_dcm_meetingdata,B_DCM_MEETINGDATA,"未使用注册会议日期,B_DCM_Meetingdata(新增)",BType
b_dcm_number,B_DCM_NUMBER,"最新注册文件编号,B_DCM_Number(新增)",BType
b_dcm_uesdamount,B_DCM_UESDAMOUNT,"已使用注册额度,B_DCM_Uesdamount(新增)",BType
b_dcm_underwriter,B_DCM_UNDERWRITER,"未使用额度主承销商,B_DCM_Underwriter(新增)",BType
b_dcm_unuesdamount,B_DCM_UNUESDAMOUNT,"未使用注册额度,B_DCM_Unuesdamount(新增)",BType
b_dq_avgyiled_broker,B_DQ_AVGYILED_BROKER,均价收益率(经纪商),TRADEDATE
b_dq_bidclosingyield_broker,B_DQ_BIDCLOSINGYIELD_BROKER,买入收盘收益率(经纪商),TRADEDATE
b_dq_bidyield_broker,B_DQ_BIDYIELD_BROKER,买入平均价收益率(经纪商),TRADEDATE
b_dq_cleanprice,B_DQ_CLEANPRICE,收盘价(净价),TRADEDATE
b_dq_dirtyprice,B_DQ_DIRTYPRICE,收盘价(全价),TRADEDATE
b_dq_highyiled_broker,B_DQ_HIGHYILED_BROKER,最高价收益率(经纪商),TRADEDATE
b_dq_lowyiled_broker,B_DQ_LOWYILED_BROKER,最低价收益率(经纪商),TRADEDATE
b_dq_ofrclosingyield_broker,B_DQ_OFRCLOSINGYIELD_BROKER,卖出收盘收益率(经纪商),TRADEDATE
b_dq_ofryield_broker,B_DQ_OFRYIELD_BROKER,卖出平均价收益率(经纪商),TRADEDATE
b_dq_originclose,B_DQ_ORIGINCLOSE,收盘价,DEALDATE、TYPE
b_dq_rollsample,B_DQ_ROLLSAMPLE,滚动序列样本券,TRADEDATE
b_dq_tradeyiled_broker,B_DQ_TRADEYILED_BROKER,成交收盘收益率(经纪商),TRADEDATE
b_dq_volume_z,B_DQ_VOLUME_Z,成交量,TRADEDATE、UnitVal
